epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,726.354,3.3302,4.69947,3.31926,0.40955,0.42133,0.33419,0.13025,3.66016,4.27319,3.48479,0.0011684,0.0011684,0.0011684
44,742.267,3.20862,4.60861,3.27325,0.36833,0.37474,0.30462,0.12012,3.62359,4.45558,3.49774,0.0011486,0.0011486,0.0011486
45,761.214,3.28988,4.61619,3.25259,0.4156,0.416,0.35015,0.14615,3.50104,4.21405,3.46482,0.0011288,0.0011288,0.0011288
46,777.06,3.31344,4.64316,3.32776,0.37142,0.43467,0.31668,0.12671,3.53965,4.18893,3.43476,0.001109,0.001109,0.001109
47,792.725,3.34625,4.62084,3.31997,0.396,0.37867,0.30973,0.12497,3.46944,4.33799,3.44472,0.0010892,0.0010892,0.0010892
48,808.398,3.25097,4.48857,3.24431,0.43786,0.41333,0.37142,0.14796,3.53498,4.30317,3.47199,0.0010694,0.0010694,0.0010694
49,824.47,3.34456,4.57785,3.32262,0.43668,0.41758,0.35877,0.14419,3.50886,4.21853,3.44484,0.0010496,0.0010496,0.0010496
50,840.606,3.31335,4.59539,3.2953,0.43921,0.44277,0.34899,0.1341,3.57299,4.24543,3.46985,0.0010298,0.0010298,0.0010298
51,856.523,3.23329,4.47052,3.22939,0.4045,0.41333,0.34048,0.13835,3.55757,4.29276,3.44809,0.00101,0.00101,0.00101
52,872.347,3.28502,4.53908,3.24858,0.37611,0.41867,0.3084,0.1345,3.58914,4.40271,3.40964,0.0009902,0.0009902,0.0009902
53,887.971,3.22712,4.59242,3.19596,0.4193,0.384,0.32476,0.12295,3.69199,4.56349,3.50972,0.0009704,0.0009704,0.0009704
54,904.168,3.17643,4.54384,3.20403,0.46183,0.39733,0.36909,0.15329,3.5944,4.1714,3.46,0.0009506,0.0009506,0.0009506
55,920.184,3.23315,4.48738,3.26477,0.44312,0.4074,0.36436,0.14872,3.48546,4.23161,3.41297,0.0009308,0.0009308,0.0009308
56,936.218,3.20413,4.47645,3.21649,0.4025,0.42575,0.3527,0.14463,3.48759,4.18843,3.38371,0.000911,0.000911,0.000911
57,952.382,3.1927,4.50032,3.2143,0.50837,0.40267,0.3913,0.16668,3.53071,4.11928,3.41937,0.0008912,0.0008912,0.0008912
58,968.58,3.21344,4.31769,3.20351,0.40859,0.37067,0.33464,0.12956,3.80553,4.52375,3.67813,0.0008714,0.0008714,0.0008714
59,984.504,3.22467,4.46634,3.22354,0.42321,0.432,0.39119,0.15912,3.59543,4.02612,3.41668,0.0008516,0.0008516,0.0008516
60,1000.29,3.24417,4.49609,3.28587,0.42967,0.40533,0.35847,0.15018,3.60203,4.32252,3.4998,0.0008318,0.0008318,0.0008318
61,1016.21,3.2364,4.54405,3.27575,0.39607,0.42933,0.35638,0.14563,3.41404,4.20904,3.34577,0.000812,0.000812,0.000812
62,1032.17,3.17836,4.33826,3.19571,0.41375,0.448,0.33475,0.14705,3.56419,4.07076,3.40133,0.0007922,0.0007922,0.0007922
